"","Open","High","Low","Close","Volume (BTC)","Volume (Currency)","Weighted Price"
"155",11.9,11.91616,11.51001,11.87025,84.07425,998.892792849,11.8810788422
"156",11.53203,11.976,11.53202,11.53202,27.49962,322.599041796,11.7310363487
"157",11.85388,11.9845,11.83899,11.9845,83.03603,986.019535992,11.8745987253
"158",11.9536,11.9536,11.89022,11.9089,74.67197,889.461034353,11.9115785261
"159",11.9089,11.94455,11.245,11.67459,186.5034,2163.49126432,11.6002778733
"160",11.29,11.8875,11.29,11.86999,31.2178679,370.152745545,11.8570796292
"161",11.87,11.87,11.86999,11.86999,31.18,370.106515438,11.869997288
"162",11.66823,11.81933,11.4,11.81933,48.146127,564.239829552,11.7193191791
"163",11.70001,11.81934,11.25001,11.64544,898.265917,10339.3234525,11.5103147708
"164",11.54479,11.7798,11.54479,11.7798,36.09168887,424.069666712,11.7497872776
"165",11.6038,11.6038,8.62,10.62037,147.61348,1613.85661915,10.9329894475
"166",11.22999,11.22999,4.99999,10.09253,105.459377,959.001431357,9.09356245634
"167",10.2008,10.7831,10.2008,10.50388,126.349411,1327.817695,10.5090928758
"168",8.13,10.50388,0.10999,10.50388,171.20624517,575.58487856,3.36193856707
"169",8.48001,10.69494,8.38,10.69494,26.33075626,254.31475213,9.65846744465
"170",10.70969,20.49999,10.01111,10.69999,140.4887106,1731.76600379,12.3267271541
"171",10.7,11.48887,9.02597,11.48887,191.36929274,2006.31530558,10.4839981214
"172",11.58886,11.58887,10.48854,10.48854,15.9734312,182.121746219,11.4015419692
"173",10.85,10.85,10.5085,10.5085,11.51501252,122.4049934,10.6300356328
"174",10.49999,10.61364,8.00001,8.00001,18.51520384,189.571161847,10.2386753873
"175",10.5,10.7,8.31889,10.7,48.63033,462.74479384,9.51555940172
"176",10.7,10.75717,8.37427,10.75717,8.327608,85.3031891194,10.2434203338
"177",10.80089,10.87756,10.62684,10.87756,33.06738431,357.430835923,10.8091656894
"178",10.92626,10.92626,10.92626,10.92626,10,109.2626,10.92626
"179",11.02396,11.09551,11.01695,11.01695,15.40081,169.872222743,11.0300836607
"180",10.71797,11.03626,10.71797,11.03626,72.17242,795.676664793,11.0246637814
"181",10.71308,10.94943,10.71307,10.94943,54.82053,592.41895832,10.8065164332
"182",11.67696,11.67696,10.46515,10.46515,6.3393472,71.6288856865,11.299094911
"183",11,11,11,11,0.12,1.32,11
"184",10.91114,10.91114,10.91114,10.91114,8.6,93.835804,10.91114
"185",10.94671,11.07067,10.86117,10.86117,22.42756,245.489310845,10.9458768963
"186",11.08601,11.08601,10.99898,10.99898,4.84,53.4526382,11.0439335124
"187",11.09,11.68458,11.09,11.68458,38.91597507,447.814311065,11.507210349
"188",11.56985,11.56985,11.47194,11.47194,7.45,85.9447329,11.5362057584
"189",11.75982,11.75982,11.70184,11.73507,36.84365,432.085792167,11.7275512108
